№;Линк категории поставщика;channel;prefix;coef;threshold;Номер_групи;Назва_групи;Ідентифікатор_підрозділу;Посилання_підрозділу;Особисті_нотатки;Ярлик;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики
275;https://viatec.ua/catalog/access-controller/0:0;site;;0,85;1,2;127628176;Контроллеры;301312;https://prom.ua/Kontrollery;V;;;;
276;https://viatec.ua/catalog/access-controller/0:0;prom;prom_;0,85;1.2;140905382;Безопасность и комфорт;301312;https://prom.ua/Kontrollery;V, Vmin, noindex;;;;
277;https://viatec.ua/catalog/access-accessories/0:0;site;;0,85;1,2;16703618;Комплектующие для контроля доступа;3030;https://prom.ua/Sistemy-kontrolya-dostupa;V;;Тип устройства;;Комплектуючі для СККД
278;https://viatec.ua/catalog/access-accessories/0:0;prom;prom_;0,85;1.2;140905382;Безопасность и комфорт;3030;https://prom.ua/Sistemy-kontrolya-dostupa;V, Vmin, noindex;;Тип устройства;;Комплектуючі для СККД
279;https://viatec.ua/catalog/access-closer/0:0;site;;0,85;1,2;152088624;Дверные доводчики;15380311;https://prom.ua/Dovodchiki-dverej;V;;;;
280;https://viatec.ua/catalog/access-closer/0:0;prom;prom_;0,85;1.28;140905382;Безопасность и комфорт;15380311;https://prom.ua/Dovodchiki-dverej;V, Vmin, noindex;;;;
281;"https://viatec.ua/catalog/access-cart/0:0;68:261,262,brelok-pid-zapis";site;;0,85;1,2;127628160;Карты и ключи для домофона;301310;https://prom.ua/Identifikatory;V;;Тип устройства;;Ключ-брелок
282;"https://viatec.ua/catalog/access-cart/0:0;68:261,262,brelok-pid-zapis";prom;prom_;0,85;1.2;140905382;Безопасность и комфорт;301310;https://prom.ua/Identifikatory;V, Vmin, noindex;;Тип устройства;;Ключ-брелок
283;"https://viatec.ua/catalog/access-cart/0:0;68:260,947";site;;0,85;1,2;127628160;Карты и ключи для домофона;301310;https://prom.ua/Identifikatory;V;;Тип устройства;;Карта
284;"https://viatec.ua/catalog/access-cart/0:0;68:260,947";prom;prom_;0,85;1.2;140905382;Безопасность и комфорт;301310;https://prom.ua/Identifikatory;V, Vmin, noindex;;Тип устройства;;Карта
285;"https://viatec.ua/catalog/access-cart/0:0;68:444";site;;0,85;1,2;127628160;Карты и ключи для домофона;301310;https://prom.ua/Identifikatory;V;;Тип устройства;;Радиоконтролер
286;"https://viatec.ua/catalog/access-cart/0:0;68:444";prom;prom_;0,85;1.2;140905382;Безопасность и комфорт;301310;https://prom.ua/Identifikatory;V, Vmin, noindex;;Тип устройства;;Радиоконтролер
287;"https://viatec.ua/catalog/access-cart/0:0;68:1022,samokleika-z-kodom";site;;0,85;1,2;127628160;Карты и ключи для домофона;301310;https://prom.ua/Identifikatory;V;;Тип устройства;;Мітка
288;"https://viatec.ua/catalog/access-cart/0:0;68:1022,samokleika-z-kodom";prom;prom_;0,85;1.2;140905382;Безопасность и комфорт;301310;https://prom.ua/Identifikatory;V, Vmin, noindex;;Тип устройства;;Мітка
289;"https://viatec.ua/catalog/access-cart/0:0;68:rfid-braslet";site;;0,85;1,2;127628160;Карты и ключи для домофона;301310;https://prom.ua/Identifikatory;V;;Тип устройства;;RFID браслет
290;"https://viatec.ua/catalog/access-cart/0:0;68:rfid-braslet";prom;prom_;0,85;1.2;140905382;Безопасность и комфорт;301310;https://prom.ua/Identifikatory;V, Vmin, noindex;;Тип устройства;;RFID браслет
291;"https://viatec.ua/catalog/parking-systems/0:0;89:899";site;;0,85;1,2;152481192;Системы парковки;135605;https://prom.ua/Shlagbaumy;V;;Тип устройства;;Шлагбауми
292;"https://viatec.ua/catalog/parking-systems/0:0;89:899";prom;prom_;0,85;1.2;140905382;Безопасность и комфорт;135605;https://prom.ua/Shlagbaumy;V, Vmin, noindex;;Тип устройства;;Шлагбауми
293;"https://viatec.ua/catalog/parking-systems/0:0;89:barier-parkuvalnii,blok-miscia";site;;0,85;1,2;152481192;Системы парковки;301501;https://prom.ua/Dorozhnye-ograzhdeniya;V;;Тип устройства;;Блокувальник паркувального місця
294;"https://viatec.ua/catalog/parking-systems/0:0;89:barier-parkuvalnii,blok-miscia";prom;prom_;0,85;1.31;140905382;Безопасность и комфорт;301501;https://prom.ua/Dorozhnye-ograzhdeniya;V, Vmin, noindex;;Тип устройства;;Блокувальник паркувального місця
295;"https://viatec.ua/catalog/parking-systems/0:0;89:338,898,900,1299,komplekt-sharnir,komplekt-pruzhin,signalna-lampa,fotoelement,radar-vhid";site;;0,85;1,2;152481192;Системы парковки;13560901;https://prom.ua/Aksessuary-dlya-vorot-i-shagbaumov;V;;Тип устройства;;Комплектуючі до шлагбаумів
296;"https://viatec.ua/catalog/parking-systems/0:0;89:338,898,900,1299,komplekt-sharnir,komplekt-pruzhin,signalna-lampa,fotoelement,radar-vhid";prom;prom_;0,85;1.25;140905382;Безопасность и комфорт;13560901;https://prom.ua/Aksessuary-dlya-vorot-i-shagbaumov;V, Vmin, noindex;;Тип устройства;;Комплектуючі до шлагбаумів
297;https://viatec.ua/catalog/boksi-montazhni/0:0;site;;0,85;1,2;17012456;Серверные шкафы;70306;https://prom.ua/Shkafy-servernye;V;;Тип устройства;;Бокси монтажні
298;https://viatec.ua/catalog/boksi-montazhni/0:0;prom;prom_;0,85;1.30;140905382;Безопасность и комфорт;70306;https://prom.ua/Shkafy-servernye;V, Vmin, noindex;;Тип устройства;;Бокси монтажні
299;https://viatec.ua/catalog/shkafi/0:0;site;;0,85;1,2;17012456;Серверные шкафы;70306;https://prom.ua/Shkafy-servernye;V;;Тип устройства;;Серверні шафи
300;https://viatec.ua/catalog/shkafi/0:0;prom;prom_;0,85;1.30;140905382;Безопасность и комфорт;70306;https://prom.ua/Shkafy-servernye;V, Vmin, noindex;;Тип устройства;;Серверні шафи
301;"https://viatec.ua/catalog/equipment-cable/0:0;80:849";site;;0,85;1,2;17012111;Кабель;7190605;https://prom.ua/Kabel-telefonnyj;V;;Тип устройства;;Мережевий
302;"https://viatec.ua/catalog/equipment-cable/0:0;80:849";prom;prom_;0,85;1.24;140905382;Безопасность и комфорт;7190605;https://prom.ua/Kabel-telefonnyj;V, Vmin, noindex;;Тип устройства;;Мережевий
303;"https://viatec.ua/catalog/equipment-cable/0:0;80:307";site;;0,85;1,2;17012111;Кабель;7190605;https://prom.ua/Kabel-telefonnyj;V;;Тип устройства;;Сигнальний
304;"https://viatec.ua/catalog/equipment-cable/0:0;80:307";prom;prom_;0,85;1.24;140905382;Безопасность и комфорт;7190605;https://prom.ua/Kabel-telefonnyj;V, Vmin, noindex;;Тип устройства;;Сигнальний
305;"https://viatec.ua/catalog/equipment-cable/0:0;80:308";site;;0,85;1,2;17012111;Кабель;14190408;https://prom.ua/ua/Silovoj-kabel;V;;Тип устройства;;Силовий
306;"https://viatec.ua/catalog/equipment-cable/0:0;80:308";prom;prom_;0,85;1.24;140905382;Безопасность и комфорт;14190408;https://prom.ua/ua/Silovoj-kabel;V, Vmin, noindex;;Тип устройства;;Силовий
307;"https://viatec.ua/catalog/equipment-cable/0:0;80:306";site;;0,85;1,2;17012111;Кабель;7190605;https://prom.ua/Kabel-telefonnyj;V;;Тип устройства;;Коаксіальний
308;"https://viatec.ua/catalog/equipment-cable/0:0;80:306";prom;prom_;0,85;1.24;140905382;Безопасность и комфорт;7190605;https://prom.ua/Kabel-telefonnyj;V, Vmin, noindex;;Тип устройства;;Коаксіальний
309;"https://viatec.ua/catalog/equipment-cable/0:0;80:845";site;;0,85;1,2;17012111;Кабель;7190605;https://prom.ua/Kabel-telefonnyj;V;;Тип устройства;;Комбінований
310;"https://viatec.ua/catalog/equipment-cable/0:0;80:845";prom;prom_;0,85;1.24;140905382;Безопасность и комфорт;7190605;https://prom.ua/Kabel-telefonnyj;V, Vmin, noindex;;Тип устройства;;Комбінований
311;"https://viatec.ua/catalog/equipment-cable/0:0;80:111";site;;0,85;1,2;17012111;Кабель;7190605;https://prom.ua/Kabel-telefonnyj;V;;Тип устройства;;Оптичний
312;"https://viatec.ua/catalog/equipment-cable/0:0;80:111";prom;prom_;0,85;1.24;140905382;Безопасность и комфорт;7190605;https://prom.ua/Kabel-telefonnyj;V, Vmin, noindex;;Тип устройства;;Оптичний
313;"https://viatec.ua/catalog/equipment-cable/0:0;80:777787";site;;0,85;1,2;17012111;Кабель;7190604;https://prom.ua/Patch-kordy;V;;Тип устройства;;Патч-корд оптичний
314;"https://viatec.ua/catalog/equipment-cable/0:0;80:777787";prom;prom_;0,85;1.28;140905382;Безопасность и комфорт;7190604;https://prom.ua/Patch-kordy;V, Vmin, noindex;;Тип устройства;;Патч-корд оптичний
315;"https://viatec.ua/catalog/equipment-cable/0:0;80:pigteil-opt";site;;0,85;1,2;17012111;Кабель;7190604;https://prom.ua/Patch-kordy;V;;Тип устройства;;Пігтейл оптичний
316;"https://viatec.ua/catalog/equipment-cable/0:0;80:pigteil-opt";prom;prom_;0,85;1.28;140905382;Безопасность и комфорт;7190604;https://prom.ua/Patch-kordy;V, Vmin, noindex;;Тип устройства;;Пігтейл оптичний
317;"https://viatec.ua/catalog/equipment-cable/0:0;80:821";site;;0,85;1,2;17012111;Кабель;63719;https://prom.ua/ua/Audio-video-kabeli-perehodniki-razemy;V;;Тип устройства;;HDMI
318;"https://viatec.ua/catalog/equipment-cable/0:0;80:821";prom;prom_;0,85;1.31;140905382;Безопасность и комфорт;63719;https://prom.ua/ua/Audio-video-kabeli-perehodniki-razemy;V, Vmin, noindex;;Тип устройства;;HDMI
319;"https://viatec.ua/catalog/equipment-cable/0:0;80:hdmi-dvi-d";site;;0,85;1,2;17012111;Кабель;63719;https://prom.ua/ua/Audio-video-kabeli-perehodniki-razemy;V;;Тип устройства;;HDMI-DVI-D
320;"https://viatec.ua/catalog/equipment-cable/0:0;80:hdmi-dvi-d";prom;prom_;0,85;1.31;140905382;Безопасность и комфорт;63719;https://prom.ua/ua/Audio-video-kabeli-perehodniki-razemy;V, Vmin, noindex;;Тип устройства;;HDMI-DVI-D
321;"https://viatec.ua/catalog/equipment-cable/0:0;80:displayport-hdmi";site;;0,85;1,2;17012111;Кабель;63719;https://prom.ua/ua/Audio-video-kabeli-perehodniki-razemy;V;;Тип устройства;;DisplayPort-HDMI
322;"https://viatec.ua/catalog/equipment-cable/0:0;80:displayport-hdmi";prom;prom_;0,85;1.31;140905382;Безопасность и комфорт;63719;https://prom.ua/ua/Audio-video-kabeli-perehodniki-razemy;V, Vmin, noindex;;Тип устройства;;DisplayPort-HDMI
323;"https://viatec.ua/catalog/equipment-cable/0:0;80:sata";site;;0,85;1,2;17012111;Кабель;63719;https://prom.ua/ua/Audio-video-kabeli-perehodniki-razemy;V;;Тип устройства;;SATA
324;"https://viatec.ua/catalog/equipment-cable/0:0;80:sata";prom;prom_;0,85;1.31;140905382;Безопасность и комфорт;63719;https://prom.ua/ua/Audio-video-kabeli-perehodniki-razemy;V, Vmin, noindex;;Тип устройства;;SATA
325;https://viatec.ua/catalog/switches/0:0;site;;0,85;1,2;23295147;Коммутаторы;71903;https://prom.ua/Kommutatory;V;;;;
326;https://viatec.ua/catalog/switches/0:0;prom;prom_;0,85;1.27;140905382;Безопасность и комфорт;71903;https://prom.ua/Kommutatory;V, Vmin, noindex;;;;
327;https://viatec.ua/catalog/network-routers/0:0;site;;0,85;1,2;90997677;Маршрутизаторы;71902;https://prom.ua/Routeryi;V;;;;
328;https://viatec.ua/catalog/network-routers/0:0;prom;prom_;0,85;1.27;140905382;Безопасность и комфорт;71902;https://prom.ua/Routeryi;V, Vmin, noindex;;;;
329;https://viatec.ua/catalog/network-ap/0:0;site;;0,85;1,2;90997694;Точки доступа;7190603;https://prom.ua/Setevye-kontsentratory;V;;;;
330;https://viatec.ua/catalog/network-ap/0:0;prom;prom_;0,85;1.28;140905382;Безопасность и комфорт;7190603;https://prom.ua/Setevye-kontsentratory;V, Vmin, noindex;;;;
331;"https://viatec.ua/catalog/network-injectors/0:0;104:376";site;;0,85;1,2;152090354;Инжекторы, медиаконверторы;50928;https://prom.ua/ua/Oborudovanie-dlya-pitaniya-po-ethernet;V;;Тип устройства;;Інжектор
332;"https://viatec.ua/catalog/network-injectors/0:0;104:376";prom;prom_;0,85;1.25;140905382;Безопасность и комфорт;50928;https://prom.ua/ua/Oborudovanie-dlya-pitaniya-po-ethernet;V, Vmin, noindex;;Тип устройства;;Інжектор
333;"https://viatec.ua/catalog/network-injectors/0:0;104:377";site;;0,85;1,2;152090354;Инжекторы, медиаконверторы;5092006;https://prom.ua/ua/Opticheskij-konverter;V;;Тип устройства;;Медіаконвертер
334;"https://viatec.ua/catalog/network-injectors/0:0;104:377";prom;prom_;0,85;1.28;140905382;Безопасность и комфорт;5092006;https://prom.ua/ua/Opticheskij-konverter;V, Vmin, noindex;;Тип устройства;;Медіаконвертер
335;"https://viatec.ua/catalog/network-injectors/0:0;104:531";site;;0,85;1,2;152090354;Инжекторы, медиаконверторы;50928;https://prom.ua/ua/Oborudovanie-dlya-pitaniya-po-ethernet;V;;Тип устройства;;PoE розгалужувач
336;"https://viatec.ua/catalog/network-injectors/0:0;104:531";prom;prom_;0,85;1.25;140905382;Безопасность и комфорт;50928;https://prom.ua/ua/Oborudovanie-dlya-pitaniya-po-ethernet;V, Vmin, noindex;;Тип устройства;;PoE розгалужувач
337;"https://viatec.ua/catalog/network-injectors/0:0;104:rozshiruvach";site;;0,85;1,2;152090354;Инжекторы, медиаконверторы;50928;https://prom.ua/ua/Oborudovanie-dlya-pitaniya-po-ethernet;V;;Тип устройства;;PoE розширювач
338;"https://viatec.ua/catalog/network-injectors/0:0;104:rozshiruvach";prom;prom_;0,85;1.25;140905382;Безопасность и комфорт;50928;https://prom.ua/ua/Oborudovanie-dlya-pitaniya-po-ethernet;V, Vmin, noindex;;Тип устройства;;PoE розширювач
339;https://viatec.ua/catalog/wi-fi-mosti/0:0;site;;0,85;1,2;152090439;Wi-Fi мосты;5090506;https://prom.ua/Mosty-shlyuzy-besprovodnyh-setej;V;;;;
340;https://viatec.ua/catalog/wi-fi-mosti/0:0;prom;prom_;0,85;1.31;140905382;Безопасность и комфорт;5090506;https://prom.ua/Mosty-shlyuzy-besprovodnyh-setej;V, Vmin, noindex;;;;
341;"https://viatec.ua/catalog/network-EoC/0:0;124:537";site;;0,85;1,2;152090654;Конвертеры, SFP модули;5092006;https://prom.ua/Opticheskij-konverter;V;;Тип устройства;;конвертер
342;"https://viatec.ua/catalog/network-EoC/0:0;124:537";prom;prom_;0,85;1.28;140905382;Безопасность и комфорт;5092006;https://prom.ua/Opticheskij-konverter;V, Vmin, noindex;;Тип устройства;;конвертер
343;"https://viatec.ua/catalog/network-EoC/0:0;124:538";site;;0,85;1,2;152090654;Конвертеры, SFP модули;5092007;https://prom.ua/Moduli-gbic-i-sfp;V;;Тип устройства;;SFP модуль
344;"https://viatec.ua/catalog/network-EoC/0:0;124:538";prom;prom_;0,85;1.2;140905382;Безопасность и комфорт;5092007;https://prom.ua/Moduli-gbic-i-sfp;V, Vmin, noindex;;Тип устройства;;SFP модуль
345;"https://viatec.ua/catalog/network-EoC/0:0;124:aoc-kabel";site;;0,85;1,2;152090654;Конвертеры, SFP модули;5092007;https://prom.ua/Moduli-gbic-i-sfp;V;;Тип устройства;;Активний кабель (AOC)
346;"https://viatec.ua/catalog/network-EoC/0:0;124:aoc-kabel";prom;prom_;0,85;1.2;140905382;Безопасность и комфорт;5092007;https://prom.ua/Moduli-gbic-i-sfp;V, Vmin, noindex;;Тип устройства;;Активний кабель (AOC)
